ocd-division/country:us/state:nc/county:forsyth/precinct:31	ocd-division/country:us/state:nc/county:forsyth/precinct:031
ocd-division/country:us/state:nc/county:forsyth/precinct:32	ocd-division/country:us/state:nc/county:forsyth/precinct:032
ocd-division/country:us/state:nc/county:forsyth/precinct:33	ocd-division/country:us/state:nc/county:forsyth/precinct:033
ocd-division/country:us/state:nc/county:forsyth/precinct:34	ocd-division/country:us/state:nc/county:forsyth/precinct:034
ocd-division/country:us/state:nc/county:forsyth/precinct:42	ocd-division/country:us/state:nc/county:forsyth/precinct:042
ocd-division/country:us/state:nc/county:forsyth/precinct:43	ocd-division/country:us/state:nc/county:forsyth/precinct:043
ocd-division/country:us/state:nc/county:forsyth/precinct:51	ocd-division/country:us/state:nc/county:forsyth/precinct:051
ocd-division/country:us/state:nc/county:forsyth/precinct:52	ocd-division/country:us/state:nc/county:forsyth/precinct:052
ocd-division/country:us/state:nc/county:forsyth/precinct:53	ocd-division/country:us/state:nc/county:forsyth/precinct:053
ocd-division/country:us/state:nc/county:forsyth/precinct:54	ocd-division/country:us/state:nc/county:forsyth/precinct:054
ocd-division/country:us/state:nc/county:forsyth/precinct:55	ocd-division/country:us/state:nc/county:forsyth/precinct:055
ocd-division/country:us/state:nc/county:forsyth/precinct:61	ocd-division/country:us/state:nc/county:forsyth/precinct:061
ocd-division/country:us/state:nc/county:forsyth/precinct:62	ocd-division/country:us/state:nc/county:forsyth/precinct:062
ocd-division/country:us/state:nc/county:forsyth/precinct:63	ocd-division/country:us/state:nc/county:forsyth/precinct:063
ocd-division/country:us/state:nc/county:forsyth/precinct:64	ocd-division/country:us/state:nc/county:forsyth/precinct:064
ocd-division/country:us/state:nc/county:forsyth/precinct:65	ocd-division/country:us/state:nc/county:forsyth/precinct:065
ocd-division/country:us/state:nc/county:forsyth/precinct:66	ocd-division/country:us/state:nc/county:forsyth/precinct:066
ocd-division/country:us/state:nc/county:forsyth/precinct:67	ocd-division/country:us/state:nc/county:forsyth/precinct:067
ocd-division/country:us/state:nc/county:forsyth/precinct:68	ocd-division/country:us/state:nc/county:forsyth/precinct:068
ocd-division/country:us/state:nc/county:forsyth/precinct:71	ocd-division/country:us/state:nc/county:forsyth/precinct:071
ocd-division/country:us/state:nc/county:forsyth/precinct:72	ocd-division/country:us/state:nc/county:forsyth/precinct:072
ocd-division/country:us/state:nc/county:forsyth/precinct:73	ocd-division/country:us/state:nc/county:forsyth/precinct:073
ocd-division/country:us/state:nc/county:forsyth/precinct:74	ocd-division/country:us/state:nc/county:forsyth/precinct:074
ocd-division/country:us/state:nc/county:forsyth/precinct:75	ocd-division/country:us/state:nc/county:forsyth/precinct:075
ocd-division/country:us/state:nc/county:forsyth/precinct:81	ocd-division/country:us/state:nc/county:forsyth/precinct:081
ocd-division/country:us/state:nc/county:forsyth/precinct:82	ocd-division/country:us/state:nc/county:forsyth/precinct:082
ocd-division/country:us/state:nc/county:forsyth/precinct:83	ocd-division/country:us/state:nc/county:forsyth/precinct:083
ocd-division/country:us/state:nc/county:forsyth/precinct:91	ocd-division/country:us/state:nc/county:forsyth/precinct:091
ocd-division/country:us/state:nc/county:forsyth/precinct:92	ocd-division/country:us/state:nc/county:forsyth/precinct:092
ocd-division/country:us/state:nc/county:forsyth/precinct:abs~prov~curb_1	ocd-division/country:us/state:nc/county:forsyth/precinct:absentee
ocd-division/country:us/state:nc/county:forsyth/precinct:abs~prov~curb_2	ocd-division/country:us/state:nc/county:forsyth/precinct:absentee
ocd-division/country:us/state:nc/county:forsyth/precinct:abs~prov~curb_3	ocd-division/country:us/state:nc/county:forsyth/precinct:absentee
ocd-division/country:us/state:nc/county:forsyth/precinct:abs~prov~curb_4	ocd-division/country:us/state:nc/county:forsyth/precinct:absentee
ocd-division/country:us/state:nc/county:durham/precinct:1	ocd-division/country:us/state:nc/county:durham/precinct:01
ocd-division/country:us/state:nc/county:durham/precinct:2	ocd-division/country:us/state:nc/county:durham/precinct:02
ocd-division/country:us/state:nc/county:durham/precinct:3	ocd-division/country:us/state:nc/county:durham/precinct:03
ocd-division/country:us/state:nc/county:durham/precinct:34-1	ocd-division/country:us/state:nc/county:durham/precinct:34
ocd-division/country:us/state:nc/county:durham/precinct:34-2	ocd-division/country:us/state:nc/county:durham/precinct:34
ocd-division/country:us/state:nc/county:durham/precinct:35.3	ocd-division/country:us/state:nc/county:durham/precinct:35
ocd-division/country:us/state:nc/county:durham/precinct:4	ocd-division/country:us/state:nc/county:durham/precinct:04
ocd-division/country:us/state:nc/county:durham/precinct:5	ocd-division/country:us/state:nc/county:durham/precinct:05
ocd-division/country:us/state:nc/county:durham/precinct:55-11	ocd-division/country:us/state:nc/county:durham/precinct:55
ocd-division/country:us/state:nc/county:durham/precinct:55-49	ocd-division/country:us/state:nc/county:durham/precinct:55
ocd-division/country:us/state:nc/county:durham/precinct:6	ocd-division/country:us/state:nc/county:durham/precinct:06
ocd-division/country:us/state:nc/county:durham/precinct:7	ocd-division/country:us/state:nc/county:durham/precinct:07
ocd-division/country:us/state:nc/county:durham/precinct:8	ocd-division/country:us/state:nc/county:durham/precinct:08
ocd-division/country:us/state:nc/county:durham/precinct:9	ocd-division/country:us/state:nc/county:durham/precinct:09
ocd-division/country:us/state:nc/county:durham/precinct:absentee	ocd-division/country:us/state:nc/county:durham/precinct:absentee
ocd-division/country:us/state:nc/county:durham/precinct:os-boe	ocd-division/country:us/state:nc/county:durham/precinct:one_stop
ocd-division/country:us/state:nc/county:durham/precinct:os-dtc	ocd-division/country:us/state:nc/county:durham/precinct:one_stop
ocd-division/country:us/state:nc/county:durham/precinct:os-dtcn	ocd-division/country:us/state:nc/county:durham/precinct:one_stop
ocd-division/country:us/state:nc/county:durham/precinct:os-duke	ocd-division/country:us/state:nc/county:durham/precinct:one_stop
ocd-division/country:us/state:nc/county:durham/precinct:os-eno	ocd-division/country:us/state:nc/county:durham/precinct:one_stop
ocd-division/country:us/state:nc/county:durham/precinct:os-erl	ocd-division/country:us/state:nc/county:durham/precinct:one_stop
ocd-division/country:us/state:nc/county:durham/precinct:os-front	ocd-division/country:us/state:nc/county:durham/precinct:one_stop
ocd-division/country:us/state:nc/county:durham/precinct:os-getg	ocd-division/country:us/state:nc/county:durham/precinct:one_stop
ocd-division/country:us/state:nc/county:durham/precinct:os-ivy	ocd-division/country:us/state:nc/county:durham/precinct:one_stop
ocd-division/country:us/state:nc/county:durham/precinct:os-nccu	ocd-division/country:us/state:nc/county:durham/precinct:one_stop
ocd-division/country:us/state:nc/county:durham/precinct:os-njbc	ocd-division/country:us/state:nc/county:durham/precinct:one_stop
ocd-division/country:us/state:nc/county:durham/precinct:os-nrl	ocd-division/country:us/state:nc/county:durham/precinct:one_stop
ocd-division/country:us/state:nc/county:durham/precinct:os-srl	ocd-division/country:us/state:nc/county:durham/precinct:one_stop
ocd-division/country:us/state:nc/county:burke/precinct:1	ocd-division/country:us/state:nc/county:burke/precinct:0001
ocd-division/country:us/state:nc/county:burke/precinct:11	ocd-division/country:us/state:nc/county:burke/precinct:0011
ocd-division/country:us/state:nc/county:burke/precinct:12	ocd-division/country:us/state:nc/county:burke/precinct:0012
ocd-division/country:us/state:nc/county:burke/precinct:13	ocd-division/country:us/state:nc/county:burke/precinct:0013
ocd-division/country:us/state:nc/county:burke/precinct:14	ocd-division/country:us/state:nc/county:burke/precinct:0014
ocd-division/country:us/state:nc/county:burke/precinct:15	ocd-division/country:us/state:nc/county:burke/precinct:0015
ocd-division/country:us/state:nc/county:burke/precinct:18	ocd-division/country:us/state:nc/county:burke/precinct:0018
ocd-division/country:us/state:nc/county:burke/precinct:19	ocd-division/country:us/state:nc/county:burke/precinct:0019
ocd-division/country:us/state:nc/county:burke/precinct:20	ocd-division/country:us/state:nc/county:burke/precinct:0020
ocd-division/country:us/state:nc/county:burke/precinct:21	ocd-division/country:us/state:nc/county:burke/precinct:0021
ocd-division/country:us/state:nc/county:burke/precinct:22	ocd-division/country:us/state:nc/county:burke/precinct:0022
ocd-division/country:us/state:nc/county:burke/precinct:24	ocd-division/country:us/state:nc/county:burke/precinct:0024
ocd-division/country:us/state:nc/county:burke/precinct:29-a	ocd-division/country:us/state:nc/county:burke/precinct:0029
ocd-division/country:us/state:nc/county:burke/precinct:29-b	ocd-division/country:us/state:nc/county:burke/precinct:0029
ocd-division/country:us/state:nc/county:burke/precinct:3	ocd-division/country:us/state:nc/county:burke/precinct:0003
ocd-division/country:us/state:nc/county:burke/precinct:31	ocd-division/country:us/state:nc/county:burke/precinct:0031
ocd-division/country:us/state:nc/county:burke/precinct:34	ocd-division/country:us/state:nc/county:burke/precinct:0034
ocd-division/country:us/state:nc/county:burke/precinct:35	ocd-division/country:us/state:nc/county:burke/precinct:0035
ocd-division/country:us/state:nc/county:burke/precinct:36	ocd-division/country:us/state:nc/county:burke/precinct:0036
ocd-division/country:us/state:nc/county:burke/precinct:38	ocd-division/country:us/state:nc/county:burke/precinct:0038
ocd-division/country:us/state:nc/county:burke/precinct:39	ocd-division/country:us/state:nc/county:burke/precinct:0039
ocd-division/country:us/state:nc/county:burke/precinct:40	ocd-division/country:us/state:nc/county:burke/precinct:0040
ocd-division/country:us/state:nc/county:burke/precinct:47-a	ocd-division/country:us/state:nc/county:burke/precinct:0047
ocd-division/country:us/state:nc/county:burke/precinct:47-b	ocd-division/country:us/state:nc/county:burke/precinct:0047
ocd-division/country:us/state:nc/county:burke/precinct:48	ocd-division/country:us/state:nc/county:burke/precinct:0048
ocd-division/country:us/state:nc/county:burke/precinct:51	ocd-division/country:us/state:nc/county:burke/precinct:0051
ocd-division/country:us/state:nc/county:burke/precinct:52	ocd-division/country:us/state:nc/county:burke/precinct:0052
ocd-division/country:us/state:nc/county:burke/precinct:53	ocd-division/country:us/state:nc/county:burke/precinct:0053
ocd-division/country:us/state:nc/county:burke/precinct:62	ocd-division/country:us/state:nc/county:burke/precinct:0062
ocd-division/country:us/state:nc/county:burke/precinct:64	ocd-division/country:us/state:nc/county:burke/precinct:0064
ocd-division/country:us/state:nc/county:burke/precinct:65	ocd-division/country:us/state:nc/county:burke/precinct:0065
